time	V(v_out)	V(n002)
1.649394263045080e-003	4.027878e-001	-8.057069e-001
1.662787120187937e-003	4.267291e-001	-8.535814e-001
1.690967923759366e-003	4.660055e-001	-9.321125e-001
1.719148727330794e-003	4.902112e-001	-9.805009e-001
1.747329530902223e-003	4.993461e-001	-9.987466e-001
1.775510334473652e-003	4.934103e-001	-9.868496e-001
1.803691138045080e-003	4.724038e-001	-9.448098e-001
1.831871941616509e-003	4.363265e-001	-8.726272e-001
1.860052745187937e-003	3.851785e-001	-7.703019e-001
1.871492477330795e-003	3.609264e-001	-7.217871e-001
1.882932209473652e-003	3.351661e-001	-6.702561e-001
1.894371941616509e-003	3.078974e-001	-6.157091e-001
1.905811673759366e-003	2.791205e-001	-5.581459e-001
1.917251405902223e-003	2.488353e-001	-4.975667e-001
1.928691138045080e-003	2.170418e-001	-4.339713e-001
1.940130870187937e-003	1.837400e-001	-3.673599e-001
1.942083995187937e-003	1.780201e-001	-3.559187e-001
1.949059441616508e-003	1.572766e-001	-3.144274e-001
1.956034888045079e-003	1.363328e-001	-2.725357e-001
1.963010334473650e-003	1.151886e-001	-2.302434e-001
1.969985780902221e-003	9.384408e-002	-1.875507e-001
1.976961227330792e-003	7.229918e-002	-1.444576e-001
1.983936673759362e-003	5.055391e-002	-1.009639e-001
1.990912120187933e-003	2.860827e-002	-5.706981e-002
1.998724620187932e-003	4.081499e-003	-8.013362e-003
2.000000000000000e-003	7.499765e-005	-4.898587e-016
